Plant_Name,Unit,NRC_Webpage,Docket _Number,Location,State,Region,Licensee,Parent_Name,Parent_Website,Parent_Notes,Reactor_Type ,NSSS_Design Type ,AE,Contructor,Construction_Permit_Issued,Operating_License_Issued,Commercial_Operation,Renewed_Operating_License_Issued,Operating_License_Expires,Licensed_Mwt,Note,2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Wikipedia_URL,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Brunswick Steam Electric Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/bru2.html,05000324,"33.958333, -78.010278",NC,2,"Duke Energy Progress, Inc.",Duke Energy,www.duke-energy.com,,BWR-MARK 1,GE 4,UE&C,BRRT,2/7/1970,12/27/1974,11/3/1975,6/26/2006,12/27/2034,2923,,81%,98%,73%,98%,79%,99%,80%,95%,https://en.wikipedia.org/wiki/Brunswick_Nuclear_Generating_Station,86%,98%,99%
"Byron Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/byro1.html,05000454,"42.074167, -89.281944",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,2/14/1985,9/16/1985,11/19/2015,10/31/2044,3645,,88%,97%,96%,88%,88%,101%,94%,95%,https://en.wikipedia.org/wiki/Byron_Nuclear_Generating_Station,94%,102%,94%
"Byron Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/byro2.html,05000455,"42.074167, -89.281944",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,1/30/1987,8/2/1987,11/19/2015,11/6/2046,3645,,94%,94%,86%,94%,93%,96%,102%,96%,https://en.wikipedia.org/wiki/Byron_Nuclear_Generating_Station,96%,96%,101%
"Callaway Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/call.html,05000483,"38.761667, -91.78",MO,4,Union Electric Co.,AmerenUE,www.ameren.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,4/16/1976,10/18/1984,12/19/1984,3/6/2015,10/18/2044,3565,,96%,89%,77%,103%,90%,86%,98%,90%,https://en.wikipedia.org/wiki/Callaway_Nuclear_Generating_Station,77%,78%,97%
"Calvert Cliffs Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/calv1.html,05000317,"38.431944, -76.442222",MD,1,"Calvert Cliffs Nuclear Power Plant, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,CE,BECH,BECH,7/7/1969,7/31/1974,5/8/1975,3/23/2000,7/31/2034,2737,,97%,91%,97%,81%,101%,90%,98%,93%,https://en.wikipedia.org/wiki/Calvert_Cliffs_Nuclear_Power_Plant,100%,92%,102%
"Calvert Cliffs Nuclear Power Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/calv2.html,05000318,"38.431944, -76.442222",MD,1,Calvert Cliffs Nuclear Power Plant Inc.,"Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,CE,BECH,BECH,7/7/1969,8/13/1976,4/1/1977,3/23/2000,8/13/2036,2737,,86%,100%,81%,101%,92%,97%,93%,99%,https://en.wikipedia.org/wiki/Calvert_Cliffs_Nuclear_Power_Plant,94%,100%,82%
"Catawba Nuclear Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/cat1.html,05000413,"35.051667, -81.07",SC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/1975,1/17/1985,6/29/1985,12/5/2003,12/5/2043,3411,,88%,86%,96%,89%,89%,100%,91%,89%,https://en.wikipedia.org/wiki/Catawba_Nuclear_Station,93%,98%,83%
"Catawba Nuclear Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/cat2.html,05000414,"35.051667, -81.08",SC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/1975,5/15/1986,8/19/1986,12/5/2003,12/5/2043,3411,,86%,100%,86%,92%,101%,92%,90%,103%,https://en.wikipedia.org/wiki/Catawba_Nuclear_Station,102%,89%,94%
"Clinton Power Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/clin.html,05000461,"40.172222, -88.835",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 3,GE 6,S&L,BALD,2/24/1976,4/17/1987,11/24/1987,N/A,9/29/2026,3473,,87%,97%,82%,100%,93%,92%,97%,99%,https://en.wikipedia.org/wiki/Clinton_Nuclear_Generating_Station,94%,88%,97%
Columbia Generating Station,1,https://www.nrc.gov/info-finder/reactors/wash2.html,05000397,"46.471111, -119.333889",WA,4,Energy Northwest,Energy Northwest,www.energy-northwest.com,,BWR-MARK 2,GE 5,B&R,BECH,3/19/1973,4/13/1984,12/13/1984,5/22/2012,12/20/2043,3486,,78%,98%,80%,97%,50%,95%,67%,93%,https://en.wikipedia.org/wiki/Columbia_Generating_Station,83%,91%,79%
